location,avg_delay,min_delay,max_delay,median,95th,99th,jitter
baseline,21.07,0.077,626.312,14.228,48.38,50.913,16.347750653537698
baseline,38.061,0.139,638.563,42.238,54.021,62.171,14.86563843865174
baseline,87.335,0.273,609.457,92.045,108.771,112.45,15.437552888285632
baseline,124.325,0.274,518.113,63.606,265.969,275.682,94.0218783211403
baseline,62.767,0.274,570.469,55.393,205.282,207.195,30.299590170867727
