location,avg_delay,min_delay,max_delay,median,95th,99th,jitter
local-relay-eu-us-split,231.995,0.151,1206.036,139.543,783.624,1064.708,137.13279312257276
local-relay-eu-us-split,375.857,133.321,1321.057,208.806,814.158,997.563,253.65664956788405
local-relay-eu-us-split,412.387,3.778,987.214,303.786,862.396,954.601,249.56549391096044
local-relay-eu-us-split,185.082,102.391,985.746,138.358,447.007,639.117,70.37077612441287
local-relay-eu-us-split,262.345,5.895,1034.833,180.645,536.272,820.068,126.68136431648166
