location,avg_delay,min_delay,max_delay,median,95th,99th,jitter
local-relay-us,178.301,100.681,1318.781,120.54,416.443,741.69,5.327758832216135
local-relay-us,147.406,63.434,791.199,119.746,276.055,560.639,3.0973010495175464
local-relay-us,144.425,99.522,621.953,119.502,265.571,397.305,1.8490965157002828
local-relay-us,240.759,101.193,1601.885,120.161,586.001,754.619,5.246935108776908
local-relay-us,126.18,115.569,599.113,120.411,127.778,295.732,0.7686597540391126
local-relay-us,199.236,110.623,1211.625,119.576,616.415,903.241,3.071502138829582
local-relay-us,199.787,115.005,888.725,121.47,490.934,646.782,3.258399872623089
local-relay-us,211.499,77.853,1123.014,120.206,640.264,910.465,4.952192192641369
local-relay-us,187.596,9.047,986.073,120.333,539.43,665.989,5.5245812449474005
local-relay-us,736.955,116.659,2702.23,328.507,2187.029,2662.392,11.373048685291614
